,property_id,locality_name,postal_code,street_name,house_number,latitude,longitude,property_type,property_subtype,price,type_of_sale,number_of_rooms,living_area,kitchen_type,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface_of_good,number_of_facades,swimming_pool,state_of_building,is_belgian
7109,11081571,gilly,6060,,,,,APARTMENT,APARTMENT,130000.0,BUY_REGULAR,,76.0,INSTALLED,1.0,,0,1.0,10.0,,,,,,GOOD,True
7110,11155814,linkeroever,2050,Gloriantlaan,55,51.2288488,4.386963,APARTMENT,APARTMENT,175000.0,BUY_REGULAR,2.0,,,,,0,,,,,,,,,True
7111,11149291,anderlecht,1070,Sylvain Dupuislaan,215,50.8376559,4.2939835,APARTMENT,APARTMENT,272500.0,BUY_REGULAR,,108.0,HYPER_EQUIPPED,1.0,0.0,0,1.0,23.0,,,,,,GOOD,True
7112,11162676,heist-op-den-berg,2223,Heintjesstraat,9,51.0310786,4.7140967,HOUSE,HOUSE,379000.0,BUY_REGULAR,1.0,202.0,,,,0,,,,,1700.0,4.0,,TO_BE_DONE_UP,True
7113,8813879,roeselare,8800,Wallenstraat,40,50.9450873,3.1206613,APARTMENT,APARTMENT,212000.0,BUY_REGULAR,1.0,110.0,,1.0,,0,1.0,,,,,,,GOOD,True
7114,11157750,jambes,5100,"Rue de Sedent, B.2.2.4",,50.4453303,4.8749873,APARTMENT,APARTMENT,335000.0,BUY_REGULAR,,119.0,HYPER_EQUIPPED,1.0,,0,1.0,,,,,2.0,,AS_NEW,True
7115,11122148,hasselt,3500,Grasvennestraat,56,50.9593129,5.3385312,HOUSE,HOUSE,375000.0,BUY_REGULAR,11.0,215.0,,,,0,,,,,1100.0,,,,True
7116,11004430,waterloo,1410,,,,,APARTMENT,APARTMENT,395000.0,BUY_REGULAR,8.0,91.0,,,0.0,0,1.0,10.0,,,,4.0,0.0,GOOD,True
7117,11068909,hotton,6990,Avenue de la Gare,83,50.2769494,5.4394765,APARTMENT,GROUND_FLOOR,215000.0,BUY_REGULAR,,103.0,,1.0,0.0,0,1.0,6.0,1.0,101.0,,3.0,0.0,AS_NEW,True
7118,11141180,antwerpen deurne,2100,Ruggeveldlaan,751,51.2308299,4.4785338,APARTMENT,APARTMENT,379000.0,BUY_REGULAR,,145.0,INSTALLED,1.0,,0,1.0,,,,,2.0,,GOOD,True
7119,11014297,jurbeke,7050,Route d'Ath,297,50.526152,3.9137573,APARTMENT,APARTMENT,170000.0,BUY_REGULAR,,85.0,INSTALLED,1.0,0.0,0,,,,,,2.0,0.0,GOOD,True
7120,11086370,overijse,3090,Leegheid,12,50.7719515,4.5404976,APARTMENT,APARTMENT,450000.0,BUY_REGULAR,,146.0,INSTALLED,1.0,,1,1.0,22.0,,,,3.0,,AS_NEW,True
7121,11110794,hoogstraten,2320,Vrijheid,120,51.4032062,4.761889,APARTMENT,PENTHOUSE,715000.0,BUY_REGULAR,,133.0,INSTALLED,1.0,,1,1.0,60.0,1.0,,,3.0,,AS_NEW,True
7122,11151866,turnhout,2300,De Merodelei,207,51.3205755,4.9307152,HOUSE,HOUSE,289000.0,BUY_REGULAR,,217.0,SEMI_EQUIPPED,1.0,,1,1.0,,1.0,,270.0,2.0,,TO_BE_DONE_UP,True
7123,11144023,deinze,9800,Tolpoortstraat,40,50.9823065,3.5305868,APARTMENT,APARTMENT,385000.0,BUY_REGULAR,,96.0,HYPER_EQUIPPED,1.0,0.0,0,1.0,17.0,,,,4.0,0.0,AS_NEW,True
7124,10987062,oudenaarde,9700,Tacambaroplein,2,50.8463253,3.6015693,APARTMENT,APARTMENT,296000.0,BUY_REGULAR,9.0,114.0,,1.0,,0,,,,,,2.0,,,True
7125,11099212,sint-pieters-woluwe,1150,Venelle Aux Jeux,57,50.8335758,4.4424052,APARTMENT,FLAT_STUDIO,190000.0,BUY_REGULAR,,47.0,SEMI_EQUIPPED,1.0,0.0,0,1.0,4.0,,,,,0.0,GOOD,True
7126,11140924,graide,5555,,,,,HOUSE,HOUSE,300000.0,BUY_REGULAR,,234.0,INSTALLED,1.0,0.0,0,1.0,,1.0,279.0,413.0,2.0,0.0,AS_NEW,True
